"id","lineID","entryGroupID","type","status"
"1","1","1","Siedl.","ok"
"2","4","2","Siedl.","ok"
"3","7","3","Siedl.","ok"
"4","10","4","Siedl.","ok"
"5","12","4","Gewäs.","ok"
"6","15","5","Siedl.","ok"
"7","17","6","Siedl.","ok"
"8","20","7","Siedl.","ok"
"9","22","8","Siedl.","ok"
"10","24","9","Siedl.","ok"
"11","27","9","Eth.","ok"
"12","30","10","Siedl.","ok"
"13","32","11","Siedl.","ok"
"14","34","12","Siedl.","ok"
"15","37","13","Siedl.","ok"
"16","41","14","Admin.","ok"
"17","43","15","Siedl.","ok"
"18","45","16","Siedl.","ok"
"19","47","17","Admin.","ok"
"20","49","18","Siedl.","ok"
"21","52","19","Siedl.","ok"
"22","55","20","Siedl.","ok"
"23","57","21","Siedl.","ok"
"24","60","22","Siedl.","ok"
"25","62","23","Siedl.","ok"
"26","65","24","Siedl.","ok"
"27","68","25","Siedl.","ok"
"28","71","26","Siedl.","ok"
"29","73","27","Siedl.","ok"
"30","75","28","Siedl.","ok"
"31","77","29","Siedl.","ok"
"32","81","30","Siedl.","ok"
"33","83","31","Siedl.","ok"
"34","85","32","Siedl.","ok"
"35","87","33","Admin.","ok"
"36","89","34","Gewäs.","ok"
"37","92","35","Geb.","ok"
"38","94","36","Geb.","ok"
"39","96","37","Siedl.","ok"
"40","98","38","Geb.","ok"
"41","100","39","Eth.","ok"
"42","102","40","Siedl.","ok"
"43","104","41","Admin.","ok"
"44","107","42","Siedl.","ok"
"45","109","43","Admin.","ok"
"46","111","43","Lands.","ok"
"47","114","44","Lands.","ok"
"48","117","45","Siedl.","ok"
"49","119","46","Siedl.","ok"
"50","122","47","Siedl.","ok"
"51","124","48","Lands.","ok"
"52","126","49","Siedl.","ok"
"53","129","50","Siedl.","ok"
"54","132","51","Siedl.","ok"
"55","135","52","Siedl.","ok"
"56","137","53","Siedl.","ok"
"57","140","53","Lands.","ok"
"58","143","54","Siedl.","ok"
"59","145","55","Gewäs.","ok"
"60","147","56","Gewäs.","ok"
"61","149","57","Siedl.","ok"
"62","152","58","Siedl.","ok"
"63","154","59","Siedl.","ok"
"64","156","60","Siedl.","ok"
"65","158","61","Admin.","ok"
"66","160","62","Lands.","ok"
"67","162","63","Admin.","ok"
"68","164","64","Eth.","ok"
"69","167","65","Gewäs.","ok"
"70","169","66","Siedl.","ok"
"71","172","67","Siedl.","ok"
"72","175","68","Eth.","ok"
"73","177","69","Siedl.","ok"
"74","179","70","Siedl.","ok"
"75","181","70","Gewäs.","ok"
"76","184","71","Siedl.","ok"
"77","187","72","Siedl.","ok"
"78","190","73","Siedl.","ok"
"79","192","74","Siedl.","ok"
"80","195","75","Siedl.","ok"
"81","198","76","Eth.","ok"
"82","201","77","Eth.","ok"
"83","203","78","Siedl.","ok"
"84","207","79","Siedl.","ok"
"85","209","80","Lands.","ok"
"86","211","81","Siedl.","ok"
"87","213","82","Siedl.","ok"
"88","215","83","Siedl.","ok"
"89","217","84","Siedl.","ok"
"90","219","85","Siedl.","ok"
"91","221","86","Siedl.","ok"
"92","223","87","Siedl.","ok"
