"id","lineID","entryGroupID","lon","lat","status"
"1","1","1","45.1","32.1","ok"
"2","4","2","45.2","32.1","ok"
"3","7","3","45.3","32","ok"
"4","10","4","34","31","ok"
"5","13","4","46.15","31.05","ok"
"6","15","5","30.45","28.35","ok"
"7","17","6","35.48","34.2","ok"
"8","20","7","32","13","ok"
"9","22","8","35.48","34.2","ok"
"10","24","9","30.46","28.37","ok"
"11","28","9","33.3","24","ok"
"12","30","10","52.3","31","ok"
"13","32","11","53.3","29.5","ok"
"14","34","12","48","30","ok"
"15","37","13","48.1","30.2","ok"
"16","42","14","48.3","30","ok"
"17","43","15","52.35","31.05","ok"
"18","45","16","53.3","29.45","ok"
"19","48","17","52.3","31","ok"
"20","48","17","52.45","30.45","ok"
"21","49","18","32.2","26","ok"
"22","52","19","35.36","33.5","ok"
"23","55","20","43.4","38.4","ok"
"24","57","21","31.35","22.15","ok"
"25","60","22","22.45","38.3","ok"
"26","62","23","35.3","33.44","ok"
"27","65","24","35.42","34.08","ok"
"28","68","25","48.3","38.15","ok"
"29","71","26","48.3","38.15","ok"
"30","73","27","36.3","36.3","ok"
"31","75","28","33.5","38.5","ok"
"32","77","29","30.45","28.35","ok"
"33","81","30","55.2","30.5","ok"
"34","83","31","55.3","29.3","ok"
"35","85","32","34","42","ok"
"36","88","33","33.3","41.3","ok"
"37","90","34","36.1","33.3","ok"
"38","92","35","42.3","25.45","ok"
"39","94","36","42.45","25.45","ok"
"40","96","37","31","40.3","ok"
"41","99","38","31.2","40.4","ok"
"42","101","39","63","41","ok"
"43","102","40","38.2","38.5","ok"
"44","105","41","38.15","38.45","ok"
"45","107","42","52.15","30.15","ok"
"46","110","43","52.3","30","ok"
"47","112","43","35.35","31.3","ok"
"48","115","44","35.35","31.3","ok"
"49","117","45","57.45","29.15","ok"
"50","119","46","57.45","29.15","ok"
"51","122","47","55.3","26.3","ok"
"52","125","48","55","26.3","ok"
"53","126","49","53.15","31","ok"
"54","129","50","39.2","38","ok"
"55","132","51","53","31","ok"
"56","135","52","53.15","31","ok"
"57","137","53","58.3","36","ok"
"58","141","53","64","36","ok"
"59","143","54","44.45","33.15","ok"
"60","146","55","45.45","41.45","ok"
"61","148","56","42.15","42.15","ok"
"62","149","57","45.2","39","ok"
"63","152","58","44.3","40.4","ok"
"64","154","59","34.2","31.15","ok"
"65","156","60","34.2","31.15","ok"
"66","159","61","40.3","43","ok"
"67","161","62","40.3","43","ok"
"68","163","63","42","41.45","ok"
"69","165","64","40","43.15","ok"
"70","165","64","40.3","43","ok"
"71","168","65","40.3","43.2","ok"
"72","169","66","54","37","ok"
"73","172","67","54","36.3","ok"
"74","176","68","71.3","29.3","ok"
"75","177","69","57.4","29.5","ok"
"76","179","70","42.5","41.4","ok"
"77","182","70","57.3","36.3","ok"
"78","184","71","38.4","35.5","ok"
"79","187","72","32.15","37.55","ok"
"80","190","73","32.15","37.35","ok"
"81","192","74","35.22","32.2","ok"
"82","195","75","35.22","33.2","ok"
"83","199","76","33.3","24","ok"
"84","202","77","35.4","31.55","ok"
"85","203","78","48.15","30.15","ok"
"86","207","79","36.1","36.45","ok"
"87","210","80","28","39.3","ok"
"88","210","80","29","39.3","ok"
"89","211","81","67.45","32.45","ok"
"90","213","82","35.5","32.1","ok"
"91","215","83","37.2","36.55","ok"
"92","217","84","44.15","32","ok"
"93","219","85","48.45","30.3","ok"
"94","221","86","33","13","ok"
"95","223","87","51.2","35.4","ok"
"96","226","88","51.2","35.4","ok"
"97","229","89","50.3","34","ok"
"98","231","90","56.15","36.3","ok"
"99","233","91","51","36.3","ok"
"100","235","92","45.2","39","ok"
"101","237","93","51.45","33.3","ok"
"102","239","94","54.15","33.3","ok"
"103","241","95","52","34.45","ok"
"104","243","96","60.3","35","ok"
"105","245","97","50.3","35.15","ok"
"106","247","98","54.45","36.15","ok"
"107","249","99","50.3","34","ok"
"108","251","100","50.3","34","ok"
"109","254","101","50.3","34","ok"
"110","257","102","45","31.15","ok"
"111","260","103","45.3","34.45","ok"
"112","261","104","35.15","33.15","ok"
"113","264","105","31","30","ok"
"114","267","106","35.15","33.15","ok"
"115","270","107","31","30","ok"
"116","273","108","44.45","34.15","ok"
"117","275","109","45.3","38.3","ok"
"118","277","110","35.55","35.55","ok"
"119","279","111","35.45","36.15","ok"
"120","281","112","36.2","36.15","ok"
"121","283","113","44","32.15","ok"
"122","286","114","36.06","34.36","ok"
"123","289","115","42","43","ok"
"124","291","116","34.45","30.45","ok"
"125","295","117","51","29.3","ok"
"126","296","118","35.58","34.3","ok"
"127","299","119","42","34.3","ok"
"128","300","120","45","31.15","ok"
"129","302","121","44.15","33.3","ok"
"130","305","122","44.15","33.3","ok"
"131","307","123","44.15","34.3","ok"
"132","309","124","42.2","36.3","ok"
"133","311","125","46","31.15","ok"
"134","313","126","45","33.3","ok"
"135","316","127","44.15","13","ok"
"136","317","128","45","31.3","ok"
"137","320","129","52","12","ok"
"138","324","130","33","15","ok"
"139","325","131","46.15","30.45","ok"
"140","328","132","44.15","17.3","ok"
"141","329","133","29.3","36.3","ok"
"142","331","134","30","36.2","ok"
"143","333","135","31.15","21.5","ok"
"144","335","136","31.15","21.5","ok"
"145","338","137","36.3","36.45","ok"
"146","341","138","36.3","36.45","ok"
"147","343","139","39.25","39.55","ok"
"148","346","140","39.25","39.55","ok"
"149","349","141","49.15","25","ok"
"150","350","142","30.1","36.5","ok"
"151","353","143","30.1","36.5","ok"
"152","355","144","46.45","31.45","ok"
"153","357","145","46","31.15","ok"
"154","359","146","51.45","28","ok"
"155","361","147","47.15","32.3","ok"
"156","363","148","46.3","37.3","ok"
"157","365","149","35.3","41","ok"
"158","368","150","35.3","41","ok"
"159","370","151","34.15","40.4","ok"
"160","373","152","34.15","40.4","ok"
"161","375","153","53.3","27","ok"
"162","377","154","39.3","38.45","ok"
"163","379","155","24.3","40.3","ok"
"164","384","157","24.45","40.45","ok"
"165","387","158","25.5","40.1","ok"
"166","389","159","35.4","38.5","ok"
"167","391","160","27.45","41.05","ok"
"168","393","161","39","38.2","ok"
"169","395","162","35.42","34.12","ok"
"170","397","163","35.52","34.16","ok"
"171","399","164","35.5","32.45","ok"
"172","402","165","31.1","30","ok"
"173","406","166","46.15","23.15","ok"
"174","407","167","63.3","35.15","ok"
"175","409","168","58.45","36","ok"
"176","412","169","49.3","33.15","ok"
"177","412","169","49","33.15","ok"
"178","413","170","35.1","33","ok"
"179","416","171","26.4","36.5","ok"
"180","418","172","26.4","36.5","ok"
"181","421","173","67.15","30.3","ok"
"182","423","174","35.54","31.56","ok"
"183","425","175","30.55","37","ok"
"184","427","176","32.2","37.5","ok"
"185","430","177","32.2","37.5","ok"
"186","433","178","32.2","40","ok"
"187","434","179","49.15","35.3","ok"
"188","437","180","49.15","35.3","ok"
"189","443","182","46","41.45","ok"
"190","448","184","52.3","36.3","ok"
"191","450","185","48.3","31","ok"
"192","451","186","52.45","29.3","ok"
"193","454","187","41","37.45","ok"
"194","456","188","47","32.45","ok"
"195","458","188","50","32","ok"
"196","461","188","50","32","ok"
"197","464","189","49","32.3","ok"
"198","468","190","34.3","39.3","ok"
"199","471","191","34.3","39.3","ok"
"200","474","192","44.15","35","ok"
"201","477","193","67.45","34.45","ok"
"202","479","194","48.3","32.45","ok"
"203","479","194","48.15","32.15","ok"
"204","479","194","48","33","ok"
"205","479","194","48","32.3","ok"
"206","483","195","59","35.45","ok"
"207","485","196","48.3","32","ok"
"208","489","197","47.15","34.3","ok"
"209","491","198","52.3","35","ok"
"210","493","198","68","32.15","ok"
"211","496","198","67.5","32.2","ok"
"212","502","200","67.45","32.3","ok"
"213","505","201","62.3","32.45","ok"
"214","505","201","61.3","31.3","ok"
"215","505","201","63.15","33.15","ok"
"216","510","203","31.5","38.1","ok"
"217","512","204","49.15","35.45","ok"
"218","514","205","54.45","33.3","ok"
"219","516","206","52","32.45","ok"
"220","518","207","52.3","30","ok"
"221","521","208","64.45","38","ok"
"222","521","208","64.45","38","ok"
"223","521","208","64","38.3","ok"
"224","521","208","62","40.3","ok"
"225","521","208","55.45","39.45","ok"
"226","521","208","64.3","38","ok"
"227","523","209","31.5","38.1","ok"
"228","526","210","49","31.45","ok"
"229","528","211","48.3","31.45","ok"
"230","530","212","53.3","29","ok"
"231","533","213","54.3","37","ok"
"232","533","213","54.3","37","ok"
"233","536","214","49.45","32.3","ok"
"234","537","215","53.3","29","ok"
"235","541","216","43.5","34.5","ok"
"236","543","217","45.3","34.15","ok"
"237","546","218","48","33.15","ok"
"238","549","218","45.3","34.15","ok"
"239","553","220","35","32.3","ok"
"240","556","220","68","37.3","ok"
"241","559","221","68","37.3","ok"
"242","562","221","47.15","33","ok"
"243","565","222","47.45","31.15","ok"
"244","565","222","47.3","33","ok"
"245","565","222","48.15","31.45","ok"
"246","569","223","45","34.45","ok"
"247","569","223","46","34.45","ok"
"248","571","224","43.45","42","ok"
"249","571","224","44.15","41.45","ok"
"250","573","225","67","39.3","ok"
"251","575","226","50","32.15","ok"
"252","578","226","50.15","32.15","ok"
"253","580","227","35.35","31.5","ok"
"254","583","228","35.5","31.5","ok"
"255","586","229","35.35","33.15","ok"
"256","589","230","35.35","33.15","ok"
"257","594","231","42","40.15","ok"
"258","596","232","46","34.15","ok"
"259","599","232","46","35","ok"
"260","599","232","46","34.15","ok"
"261","601","233","35.35","31.5","ok"
"262","604","234","35.54","31.52","ok"
"263","607","235","35.2","32.15","ok"
"264","610","236","35.2","32.15","ok"
"265","613","237","35.2","32.15","ok"
"266","616","238","35.3","32.2","ok"
"267","619","239","35.3","32.2","ok"
"268","624","240","49","31.45","ok"
"269","626","240","47","37.4","ok"
"270","626","240","47.15","37.3","ok"
"271","629","241","47.15","37.3","ok"
"272","631","241","47","37.4","ok"
"273","636","243","46","34.3","ok"
"274","638","244","62","36","ok"
"275","638","244","63.45","35","ok"
"276","638","244","61","38.15","ok"
"277","638","244","61.15","38","ok"
"278","638","244","63.45","35","ok"
"279","638","244","63.3","35.15","ok"
"280","641","245","44.3","33.3","ok"
"281","644","245","44.3","33.3","ok"
"282","646","246","35","31.4","ok"
"283","650","247","53","29","ok"
"284","652","248","52","31","ok"
"285","654","249","46","41.45","ok"
"286","657","249","47.3","34","ok"
"287","660","249","47.45","34","ok"
"288","663","250","47.45","34","ok"
"289","666","251","48.45","33","ok"
"290","667","252","33.2","16.2","ok"
"291","670","253","47.15","39","ok"
"292","672","254","48.3","33.45","ok"
"293","678","254","69","40.45","ok"
"294","681","255","69","40.45","ok"
"295","685","256","47","33.3","ok"
"296","685","256","47.15","33","ok"
"297","685","256","47.2","34","ok"
"298","685","256","47.2","33.1","ok"
"299","685","256","47","33","ok"
"300","687","257","69","27.3","ok"
"301","687","257","67.3","26.3","ok"
"302","691","258","48.45","33.3","ok"
"303","694","258","68","26.3","ok"
"304","694","258","69","28","ok"
"305","694","258","69.1","28.1","ok"
"306","694","258","71.4","33.2","ok"
"307","694","258","69","28","ok"
"308","694","258","68.15","27.3","ok"
"309","694","258","70","28.3","ok"
"310","694","258","69.3","28.3","ok"
"311","696","259","50.45","30.15","ok"
"312","698","260","51.15","34.15","ok"
"313","701","261","49.45","30.3","ok"
"314","703","261","46.2","35.1","ok"
"315","706","262","46.2","35.1","ok"
"316","706","262","46","35","ok"
"317","708","263","41.5","42.3","ok"
"318","715","265","55.15","28","ok"
"319","715","265","46.45","37.15","ok"
"320","717","266","49","31.45","ok"
"321","719","267","49.15","31","ok"
"322","719","267","49.15","31","ok"
"323","721","268","49.45","34.45","ok"
"324","723","269","46","36.3","ok"
"325","727","271","49","31.45","ok"
"326","729","272","46.15","40","ok"
"327","731","273","48","34.15","ok"
"328","733","274","46.3","37.4","ok"
"329","733","274","46.45","38","ok"
"330","734","275","59","37","ok"
"331","737","276","46.45","34.3","ok"
"332","739","277","46","34.3","ok"
"333","741","277","48.3","37.3","ok"
"334","744","278","44.35","32.15","ok"
"335","745","279","31.45","38.15","ok"
"336","747","280","31.05","30.25","ok"
"337","750","281","30.45","29.15","ok"
"338","753","282","31.05","30.25","ok"
"339","755","283","30.45","29.15","ok"
"340","758","284","31.35","30.5","ok"
"341","761","285","31.35","30.5","ok"
"342","763","286","31","30.4","ok"
"343","766","287","31","30.4","ok"
"344","768","288","42.3","18","ok"
"345","770","289","42.3","18","ok"
"346","772","290","42.3","18","ok"
"347","774","291","49.1","36","ok"
"348","776","292","46.3","33.15","ok"
"349","779","293","57.2","27.3","ok"
"350","783","294","49","36","ok"
"351","785","294","49","36","ok"
"352","787","295","35.5","31.54","ok"
"353","789","296","46.3","33.3","ok"
"354","792","297","47","33.3","ok"
"355","794","298","47","33.15","ok"
"356","797","299","49","36","ok"
"357","800","299","40","43","ok"
"358","803","299","41","43","ok"
"359","803","299","41","43","ok"
"360","806","300","41.15","42.45","ok"
"361","806","300","41.25","43.15","ok"
"362","806","300","40","43.3","ok"
"363","809","301","41.45","42.3","ok"
"364","811","302","41.4","42","ok"
"365","813","302","47.45","33","ok"
"366","816","302","51.15","30.15","ok"
"367","818","303","35.4","34.1","ok"
"368","820","304","26.1","40","ok"
"369","822","305","29.15","38.55","ok"
"370","824","306","35.45","32.45","ok"
"371","827","307","31.1","30","ok"
"372","829","308","32.23","26.03","ok"
"373","832","309","44","32.3","ok"
"374","834","310","26.3","40","ok"
"375","838","311","35.1","32.1","ok"
"376","841","311","35.1","32.1","ok"
"377","843","312","35.5","32.3","ok"
"378","845","313","36","33.3","ok"
"379","847","314","35.5","32.4","ok"
"380","850","315","35.35","31.5","ok"
"381","852","316","35.35","33.15","ok"
"382","855","317","36.05","33.35","ok"
"383","858","318","35.55","33.35","ok"
"384","859","319","47.3","30","ok"
"385","863","319","47.3","30","ok"
"386","865","320","47.3","33","ok"
"387","868","321","67.3","27","ok"
"388","869","322","30.05","31.05","ok"
"389","871","323","30.05","31.05","ok"
"390","874","324","30.05","31.05","ok"
"391","877","324","45.2","34.4","ok"
"392","879","325","35.35","33.1","ok"
"393","881","326","59.3","37.15","ok"
"394","885","327","59","37.3","ok"
"395","886","328","59.3","36.15","ok"
"396","890","329","59","37","ok"
"397","892","330","59.45","33.45","ok"
"398","894","331","35.56","33.52","ok"
"399","896","332","30.2","38.5","ok"
"400","898","333","43.2","38.4","ok"
"401","900","334","37.1","38.1","ok"
"402","903","335","37.1","38.1","ok"
"403","906","336","36.05","35.3","ok"
"404","909","337","47.1","40.5","ok"
"405","912","338","30.05","31.1","ok"
"406","914","339","47","38.4","ok"
"407","917","340","44","15.15","ok"
"408","917","340","43","14","ok"
"409","918","341","52.05","30.05","ok"
"410","920","342","31.05","27.15","ok"
"411","923","343","32.45","26","ok"
"412","927","344","31","27.15","ok"
"413","928","345","32.45","26","ok"
"414","931","346","43.5","41","ok"
"415","934","347","37","38","ok"
"416","936","348","51.45","29.35","ok"
"417","939","349","33.45","41.45","ok"
"418","943","350","39.5","36.4","ok"
"419","945","351","41.1","39.5","ok"
"420","948","352","44.3","33","ok"
"421","950","353","44.4","40.2","ok"
"422","952","354","49.4","25.2","ok"
"423","956","354","49","25","ok"
"424","956","354","49.5","26","ok"
"425","958","355","47","16","ok"
"426","961","356","35.24","33.32","ok"
"427","964","357","35.24","33.32","ok"
"428","967","358","41.45","37","ok"
"429","970","359","33","14","ok"
"430","972","360","45.3","39","ok"
"431","974","361","47","16","ok"
"432","977","362","54.15","31.45","ok"
"433","979","363","54.15","31.45","ok"
"434","982","364","41","24","ok"
"435","984","365","58.3","36","ok"
"436","988","366","58","35","ok"
"437","991","367","59.45","36","ok"
"438","993","368","30.2","20.45","ok"
"439","995","369","35.56","33.54","ok"
"440","997","370","35.42","34.14","ok"
"441","1000","371","38","39.2","ok"
"442","1003","372","26.15","43.3","ok"
"443","1005","373","26.15","43.3","ok"
"444","1008","374","53.3","26.3","ok"
"445","1009","375","42","15","ok"
"446","1012","376","41.3","27","ok"
"447","1012","376","41.15","26.15","ok"
"448","1012","376","41","25","ok"
"449","1013","377","30.4","29.2","ok"
"450","1017","377","49.2","40.1","ok"
"451","1020","378","49.4","40.2","ok"
"452","1022","379","52.45","28.45","ok"
"453","1024","380","31.45","26.25","ok"
"454","1027","381","42","25.3","ok"
"455","1028","382","31.3","30.25","ok"
"456","1031","383","31.3","30.25","ok"
"457","1033","384","65","37.45","ok"
"458","1037","384","48.45","33.3","ok"
"459","1039","385","63.59","35","ok"
"460","1042","386","31.05","30.45","ok"
"461","1045","387","30.55","28.5","ok"
"462","1048","388","30.55","28.5","ok"
"463","1050","389","30.35","30.45","ok"
"464","1052","390","63","35.15","ok"
"465","1055","391","63","35.15","ok"
"466","1057","392","50","33.4","ok"
"467","1059","393","60.45","27","ok"
"468","1063","394","30.4","28.3","ok"
"469","1066","395","30.4","28.3","ok"
"470","1068","396","45.4","31","ok"
"471","1071","397","35.58","31.54","ok"
"472","1073","398","42.3","17","ok"
"473","1075","399","35.45","31.05","ok"
"474","1077","400","30.45","28.25","ok"
"475","1082","402","48","21.3","ok"
"476","1083","403","44.4","33.3","ok"
"477","1085","404","35.1","30.05","ok"
"478","1087","405","35.45","32.05","ok"
"479","1089","406","45.3","31.45","ok"
"480","1092","407","45.3","31.4","ok"
"481","1095","408","45.4","31.3","ok"
"482","1097","409","45.45","31.35","ok"
"483","1099","410","45.45","31.3","ok"
"484","1101","411","46.3","32.15","ok"
"485","1103","412","32","14","ok"
"486","1105","413","35","32","ok"
"487","1107","414","45.3","31.4","ok"
"488","1109","415","35.46","31.48","ok"
"489","1112","416","35.46","31.48","ok"
"490","1114","417","34.3","25","ok"
"491","1116","418","47.3","31.15","ok"
"492","1118","419","33.45","15.5","ok"
"493","1121","420","36.5","35.25","ok"
"494","1123","421","33.45","15.5","ok"
"495","1125","422","37.25","36","ok"
"496","1127","423","31","18","ok"
"497","1129","424","31.3","30.5","ok"
"498","1132","425","31.3","30.5","ok"
"499","1137","427","37","35.4","ok"
"500","1140","428","36.55","35.3","ok"
"501","1141","429","54","24","ok"
"502","1147","431","32.3","26.1","ok"
"503","1149","432","45.4","31.15","ok"
"504","1151","433","30.4","29.16","ok"
"505","1154","434","30.4","29.16","ok"
"506","1156","435","35.16","31.39","ok"
"507","1159","436","32.3","26.1","ok"
"508","1162","437","45.35","31.4","ok"
"509","1164","438","45.5","31.5","ok"
"510","1166","439","45.5","31.5","ok"
