"id","lineID","entryGroupID","langID","TAVOlangCode","status"
"1","1","1","20","en","ok"
"2","15","5","9","ar","ok"
"3","20","7","9","ar","ok"
"4","22","8","9","ar","ok"
"5","30","10","9","ar","ok"
"6","32","11","9","ar","ok"
"7","37","13","44","pe","ok"
"8","41","14","44","pe","ok"
"9","43","15","44","pe","ok"
"10","45","16","44","pe","ok"
"11","47","17","44","pe","ok"
"12","55","20","41","os","ok"
"13","57","21","9","ar","ok"
"14","60","22","24","gr","ok"
"15","71","26","44","pe","ok"
"16","73","27","58","tü","ok"
"17","75","28","58","tü","ok"
"18","77","29","9","ar","ok"
"19","81","30","9","ar","ok"
"20","83","31","44","pe","ok"
"21","85","32","58","tü","ok"
"22","87","33","58","tü","ok"
"23","89","34","26","heb","ok"
"24","92","35","9","ar","ok"
"25","94","36","9","ar","ok"
"26","96","37","58","tü","ok"
"27","98","38","58","tü","ok"
"28","100","39","37","mpe","ok"
"29","102","40","24","gr","ok"
"30","104","41","24","gr","ok"
"31","107","42","9","ar","ok"
"32","107","42","44","pe","ok"
"33","109","43","44","pe","ok"
"34","114","44","26","heb","ok"
"35","117","45","9","ar","ok"
"36","122","47","9","ar","ok"
"37","122","47","44","pe","ok"
"38","124","48","44","pe","ok"
"39","129","50","24","gr","ok"
"40","132","51","44","pe","ok"
"41","143","54","44","pe","ok"
"42","145","55","24","gr","ok"
"43","147","56","23","ge","ok"
"44","152","58","12","arm","ok"
"45","154","59","9","ar","ok"
"46","156","60","9","ar","ok"
"47","158","61","24","gr","ok"
"48","160","62","24","gr","ok"
"49","162","63","18","de","ok"
"50","164","64","24","gr","ok"
"51","167","65","24","gr","ok"
"52","172","67","9","ar","ok"
"53","175","68","24","gr","ok"
"54","177","69","24","gr","ok"
"55","179","70","23","ge","ok"
"56","184","71","4","ak","ok"
"57","190","73","58","tü","ok"
"58","195","75","9","ar","ok"
"59","198","76","9","ar","ok"
"60","201","77","9","ar","ok"
"61","203","78","9","ar","ok"
"62","207","79","34","la","ok"
