"id","mapCode","accuracy","title","periodID"
"1","AI1","4","Modern Middle East","1"
"2","AI2","2","Modern Middle East","1"
"3","AI3","3","Modern Middle East","1"
"4","AI4","2","Modern Middle East","1"
"5","AI5","1","Modern Middle East","1"
"6","AI6","3","Modern Middle East","1"
"7","AI7","1","Modern Middle East","1"
"8","AII1","4","Modern Middle East","1"
"9","AII2","4","N/A","2"
"10","AII3","4","Modern Middle East","1"
"11","AII4","2","Modern Middle East","1"
"12","AII5","4","Modern Middle East","1"
"13","AII6","4","Modern Middle East","1"
"14","AIII2","2","Modern Middle East","1"
"15","AIII3","2","Modern Middle East","1"
"16","AIII4","1","Modern Middle East","1"
"17","AIII5","3","Modern Middle East","1"
"18","AIII6.1","3","Modern Middle East","1"
"19","AIII6.2","1","Modern Middle East","1"
"20","AIII6.3","1","Modern Middle East","1"
"21","AIII6.4","1","Modern Middle East","1"
"22","AIII6.5","1","Modern Middle East","1"
"23","AIII6.6","1","Modern Middle East","1"
"24","AIV1","4","Modern Middle East","1"
"25","AIV2","4","Modern Middle East","1"
"26","AIV3","4","Modern Middle East","1"
"27","AIV4","4","Modern Middle East","1"
"28","AIV5","5","Modern Middle East","1"
"29","AIV6","5","Modern Middle East","1"
"30","AV1","4","Modern Middle East","1"
"31","AV2","3","Modern Middle East","1"
"32","AV3","1","Modern Middle East","1"
"33","AV4","2","Modern Middle East","1"
"34","AVI1","4","Modern Middle East","1"
"35","AVI2.1","3","Neolithic Near East","3"
"36","AVI2.2","6","Neolithic Near East","3"
"37","AVI3.1","2","Natufian Levant","4"
"38","AVI3.2","2","Natufian Levant","4"
"39","AVI3.3","2","Natufian Levant","4"
"40","AVI4","1","Modern Middle East","1"
"41","AVI5","1","Modern Middle East","1"
"42","AVI6","1","Modern Middle East","1"
"43","AVI7","1","Modern Middle East","1"
"44","AVI8","1","Modern Middle East","1"
"45","AVI9.1","1","Modern Middle East","1"
"46","AVI9.2","1","Modern Middle East","1"
"47","AVI9.3","1","Modern Middle East","1"
