"id","period","startDate","endDate","region","notes"
"1","Modern Middle East","1918","2000","ME",
"2","N/A","0","0",,
"3","Neolithic Near East","-9000","-4500",,
"4","Natufian Levant","-12500","-9500","Levant",
"5","Early Ottoman Empire","1453","1683","ME, Balkan, Northern Africa","ends with the siege of Vienna"
"6","Late Ottoman Empire","1683","1918","ME, Balkan, Northern Africa",
"7","Paleolithic Middle East","-2600000","-18000","ME",
"8","Mesolithic Middle East","-18000","-9000","ME","Epipaleolithic-Protoneolithic ME"
"9","Stone Age Oman","-125000","-3200","Persian Gulf",
"10","Bronze Age Oman","-2600","-1900","Persian Gulf",
"11","Mesolithic Levant","-18000","-9500","Levant","Epipaleolithic-Protoneolithic Levant, Kebaran-Natufian"
"12","Pre-Pottery Neolithic Middle East","-9000","-6000","ME","Aceramic Neolithic ME"
"13","Pottery Neolithic Middle East","-6000","-4500","ME",
"14","Neolithic Egypt","-6000","-4500","Egypt",
"15","Neolithic Middle East","-9000","-4500","ME",
"16","Chalcolithic Mesopotamia","-6200","-3750","Mesopotamia","Copper Age Mesopotamia, Halaf-Ubaid-Early Uruk Mesopotamia"
"17","Ubaid-Early Dynastic II Mesopotamia","-5500","-2600","Mesopotamia","Late Chalcolithic-ED II Mesopotamia, Ubaid-Uruk-Jemdet Nasr-ED Mesopotamia"
"18","Chalcolithic Iran","-5000","-2500","Iran",
"19","Old Kingdom Egypt","-2670","-2168","Egypt",
"20","First Intermediate Period Egypt","-2168","-2010","Egypt",
"21","Middle Kingdom Egypt","-2010","-1640","Egypt",
"22","Second Intermediate Period Egypt","-1640","-1548","Egypt",
"23","Old Nubian","-3800","-2300","Nubia","A-Group/Old Nubian—Middle Nubian—OK"
"24","Middle Nubian","-2300","-1600","Nubia","C-Group—Kerma—Middle Nubian—Pan-Grave—MK "
"25","Early Dynastic Mesopotamia","-2950","-2350","Mesopotamia",
"26","Akkadian-Ur III Mesopotamia","-2335","-2000","Mesopotamia","Akkadian—Neo-Sumerian Mesopotamia"
"27","Early Bronze Age Southern Levant","-3300","-2000","southern Levant",
"28","Transition Early-Middle Bronze Age Southern Levant","-2100","-1900","southern Levant",
"29","Middle Bronze Age Southern Levant","-2000","-1400","southern Levant",
"30","Late Bronze Age Southern Levant","-1400","-1200","southern Levant",
"31","Old Babylonian/Assyrian Mesopotamia","-2000","-1600","Mesopotamia",
"32","Early Bronze Age Anatolia","-2000","-1750","Anatolia","Karum Anatolia"
"33","Middle Bronze Age Anatolia","-1750","-1450","Anatolia",
"34","Early-Middle Bronze Age Iran","-2500","-1500","Iran",
"35","New Kingdom Egypt","-1548","-1086","Egypt",
"36","New Kingdom-Early Late Period Nubia","0","0",,
"37","Egyptian/Hittite Levant","-1344","-1212","Levant",
"38","2nd Millennium BC Egypt","-2000","-1000","Egypt",
"39","2nd Millennium BC Levant","-2000","-1000","Levant","MBA Levant-LBA Levant-Iron Age I Levant [not sure as these are all taken from southern Levant periodisation]"
"40","Middle Hittite Anatolia","-1450","-1200","Anatolia","New Kingdom Hittite"
"41","Later 2nd Millennium BC Mesopotamia","-1600","-1000","Mesopotamia","Middle Assyrian/Middle Babylonian/Kassite Mesopotamia, LBA-Early Iron Age Mesopotamia, incl. Sea Peoples"
"42","Middle Bronze-Iron Age Iran","0","0",,
"43","Late Period Egypt","-664","-332","Egypt",
"44","Late Nubian","-1600","-350","Nubia","NK-Kushite-Meroitic"
"45","Iron Age Southern Levant","0","0",,
"46","Achaemenid-Roman Levant","-540","324","Levant","Persian-Hellenistic-Roman Levant"
"47","Roman-Umayyad Levant","-37","1099","Levant","Roman-Byzantine-Caliphate-Umayyad Levant"
